,Date,Time,Close,Volume_in_asset,Volume_in_USDT
0,2017-08-17,23:59:59.999000,302.0,7030.71034,2.12327452268
1,2017-08-18,23:59:59.999000,293.96,9537.84646,2.8037453453816
2,2017-08-19,23:59:59.999000,290.91,2146.19773,0.6243503816343
3,2017-08-20,23:59:59.999000,299.1,2510.13871,0.7507824881610001
4,2017-08-21,23:59:59.999000,323.29,5219.44542,1.6873945098318002
5,2017-08-22,23:59:59.999000,309.8,7956.35088,2.4648775026239997
6,2017-08-23,23:59:59.999000,315.74,8665.72569,2.7361162293606
7,2017-08-24,23:59:59.999000,323.42,6753.27192,2.1841432043664004
8,2017-08-25,23:59:59.999000,327.24,7125.96962,2.3319022984488003
9,2017-08-26,23:59:59.999000,330.79,4877.68521,1.6134894906158999
10,2017-08-27,23:59:59.999000,348.13,4635.43715,1.6137347350295
11,2017-08-28,23:59:59.999000,346.0,4279.1817,1.4805968682000001
12,2017-08-29,23:59:59.999000,374.7,3032.13425,1.1361407034750002
13,2017-08-30,23:59:59.999000,385.93,4446.59608,1.7160748251544002
14,2017-08-31,23:59:59.999000,384.79,4435.86855,1.7068778593545002
15,2017-09-01,23:59:59.999000,388.46,4198.68434,1.6310209187164
16,2017-09-02,23:59:59.999000,343.14,8240.32724,2.8275858891336
17,2017-09-03,23:59:59.999000,341.77,5253.62211,1.7955304285347
18,2017-09-04,23:59:59.999000,283.77,6737.81061,1.9119885167997
19,2017-09-05,23:59:59.999000,312.09,8344.41924,2.6042098006115992
20,2017-09-06,23:59:59.999000,335.0,5486.30988,1.8379138097999999
21,2017-09-07,23:59:59.999000,334.49,3103.89745,1.0382226580505
22,2017-09-08,23:59:59.999000,302.99,4915.75693,1.4894251922207
23,2017-09-09,23:59:59.999000,296.74,2740.58822,0.8132421484028001
24,2017-09-10,23:59:59.999000,293.5,4156.45099,1.219918365565
25,2017-09-11,23:59:59.999000,297.3,4829.64647,1.4358538955309998
26,2017-09-12,23:59:59.999000,293.96,5176.31402,1.5216292693191997
27,2017-09-13,23:59:59.999000,276.91,6451.22836,1.7864096451676001
28,2017-09-14,23:59:59.999000,215.21,12601.95676,2.7120671143196
29,2017-09-15,23:59:59.999000,253.0,14223.8953,3.5986455109
